更新日期,#genre#
广东民生,http://38.75.136.137:98/gslb/dsdqpub/gdgga.m3u8?auth=testpub$IPV4•线路3
广东综艺,http://113.95.132.166:554/rtp/239.77.1.237:5146$IPV4•线路1
广东综艺,http://183.30.201.121:10002/rtp/239.77.1.237:5146$IPV4•线路2
广东综艺,http://58.63.66.57:8888/rtp/239.77.1.237:5146$IPV4•线路3
广东影视,http://k.061899.xyz/k.php?id=gdys$IPV4•线路1
广东影视,http://119.32.12.17:2901/udp/224.1.100.11:11111$IPV4•线路2
广东影视,http://45.192.97.170:8880/play/346.m3u8$IPV4•线路3
经济科教,http://120.198.95.220:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&down=1$IPV4•线路1
经济科教,http://218.13.170.98:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0$IPV4•线路2
经济科教,http://120.198.95.220:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1$IPV4•线路3
吉视都市,http://107.150.60.122/live/jlds.m3u8$IPV4•线路1
吉视都市,http://192.151.150.154/live/jlds.m3u8$IPV4•线路2
吉视都市,http://198.204.228.26/live/jlds.m3u8$IPV4•线路3
现代教育,http://120.87.19.109:80/PLTV/88888973/224/3221225733/10000100000000060000000000334513_0.smil/01.m3u8?fmt=ts2hls,244,01.m3u8&accountinfo=UoQbCSdhOfs+Fhzpjb+WON1faRQ9pU15SBx6EULzJM/q63EjPL5/UXSVfEKzDq3xYBA53ZUw8cnNtR6tkC1LvwWZ1F4+6A1eDkDeh5XZlpvpn23wIF+ldb6dnBPa8zHj,END&tenantId=8601$IPV4
大湾区卫视,http://148.135.93.213/live.php?id=大湾区卫视$IPV4•线路1
大湾区卫视,http://ali.hlspull.yximgs.com/live/b027460e580a463cb7e44eebexcvhnddggdfsdg.flv$IPV4•线路2
大湾区卫视,http://192.151.150.154/live/nfws.m3u8$IPV4•线路3
🍓┃湾区频道,#genre#
翡翠台,http://r.jdshipin.com/qClQf$IPV4•线路1
翡翠台,http://r.jdshipin.com/qrfbg$IPV4•线路2
翡翠台,http://r.jdshipin.com/62WM7$IPV4•线路3
凤凰中文,http://k.061899.xyz/k.php?id=fhzw$IPV4•线路1
凤凰中文,http://r.jdshipin.com/cCCzW$IPV4•线路2
凤凰中文,http://43.152.224.209/qctv.fengshows.cn/live/0701pcc72.flv$IPV4•线路3
凤凰资讯,http://k.061899.xyz/k.php?id=fhzx$IPV4•线路1
凤凰资讯,http://r.jdshipin.com/0Rp07$IPV4•线路2
凤凰资讯,http://api.kkitv.itv888.vip:8080/streams/wzt3qbit80m/index.m3u8$IPV4•线路3
tvN,http://75.127.89.169:35441/endday20260630.php?id=723$IPV4•线路1
tvN,https://5790d294af2dc.streamlock.net/tvn/tvn/playlist.m3u8$IPV4•线路2
tvN,https://d2zyqoz1zsj2mq.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-i9yul1lyegl6e-ssai-prd/6d07fe2a_003a_4879_acfc_44e3c3c10f03/hls/playlist.m3u8?tvN$IPV4•线路3
PopC,http://75.127.89.169:35441/endday20260630.php?id=170$IPV4•线路1
PopC,http://75.127.89.169:35441/endday20260630.php?id=171$IPV4•线路2
PopC,https://test.946985.filegear-sg.me/proxy/37414657af7ded2b$IPV4•线路3
J2,http://api.kkitv.itv888.vip:8080/streams/48uxa7dlbga/index.m3u8$IPV4•线路1
J2,https://hls-gateway.vpstv.net/streams/476932.m3u8$IPV4•线路2
J2,http://fm1077.serv00.net/Smart.php?id=j2_twn$IPV4•线路3
明珠台,http://r.jdshipin.com/ZQ4kN$IPV4•线路1
明珠台,http://r.jdshipin.com/jUx8K$IPV4•线路2
明珠台,http://api.kkitv.itv888.vip:8080/streams/qi0oiujn7hh/index.m3u8$IPV4•线路3
娛樂新聞台(HK),https://cdn.qd.je/163189/ylxw$IPV4•线路1
娛樂新聞台(HK),https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbentertainment$IPV4•线路2
娛樂新聞台(HK),https://cdn6.163189.xyz/163189/ylxw$IPV4•线路3
娱乐新闻台,http://iptv.4666888.xyz/iptv2A.php?id=26$IPV4•线路1
娱乐新闻台,https://iptv.707626.xyz/ch/ad60506f0a7a41a03d9dbd1b59129066/master.m3u8$IPV4•线路2
無線新聞台,https://h5cdn3.kylintv.tv/live/tvbnews_iphone.m3u8$IPV4•线路1
無線新聞台,http://15611-huge.cdn-o2.me/live/4b1cb29e33/9ea2b8c5e827/500949.ts$IPV4•线路2
無線新聞台,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00:1A:79:B5:9F:AC&stream=153399$IPV4•线路3
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn$IPV4•线路1
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw$IPV4•线路2
无线新闻台,http://45.192.97.170:8880/play/404.m3u8$IPV4•线路3
有线新闻,http://iptv.4666888.xyz/iptv2A.php?id=31$IPV4•线路1
有线新闻,http://61.10.2.140/live_freedirect/opentvhd002_h.live/playlist.m3u8$IPV4•线路2
有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/hd110_h.live/playlist.m3u8$IPV4•线路3
TVBS新闻,https://d2jc41c1shgcol.cloudfront.net/live/tvbsnewsqt/playlist.m3u8$IPV4•线路1
TVBS新闻,http://jnzq.ohoyee.com:9080/live/xingjiaoge-tvbsxw.m3u8$IPV4•线路2
TVBS新闻,http://lax.dbm.cc.cd:8880/stream/e4725905-ef0b-4760-8978-924316e1729b/playlist.m3u8$IPV4•线路3
TVBS欢乐,http://125.94.244.29:2101/1234.php?id=20&s=3$IPV4•线路1
TVBS欢乐,http://gat.xyys.site/cdnlive-fusion.php?mode=play;id=a2309b6cbfc99db79ceefc6cdc56b325;token=MO9fE3b9swtXd8K26mW1CeKqfWEf4gkD;machineid=9187b0aea9370255;userip=112.132.215.14;useragent=Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%2012%3B%20V2166A%20Build%2Fd063e58.0%29;source=dl_app$IPV4•线路2
TVBS欢乐,http://litv.zapi.us.kg/$IPV4•线路3
寰宇新聞台,https://litv.tzh911.qzz.io/litv.php?id=litv-longturn14&token=https://t.me/GPT_858$IPV4•线路1
寰宇新聞台,http://4gtv.cnlive.club/channel/n4da4274/index.m3u8?q=1782639885837$IPV4•线路2
寰宇新聞台,https://test.946985.filegear-sg.me/proxy/e3f6ff0bccdd3743$IPV4•线路3
now新闻,http://psyl11.dyndns.tv:35451/live/axdynowtream/fSlawNmh15/23.ts$IPV4•线路1
now新闻,https://cdn.qd.je/163189/now$IPV4•线路2
now新闻,http://cdn.163189.xyz/163189/now$IPV4•线路3
133爆谷台,http://173.208.234.146/live/nowbg.m3u8$IPV4•线路1
133爆谷台,https://iptv.707626.xyz/ch/68527adcbbc4f6f0c815314a24d71aaf/master.m3u8$IPV4•线路2
133爆谷台,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8$IPV4•线路3
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8$IPV4
ROCK Action,http://lax.dbm.cc.cd:8880/stream/d3f3f778-f85d-497e-a6aa-db0942046306/playlist.m3u8$IPV4•线路1
ROCK Action,http://iptv.4666888.xyz/iptv2A.php?id=50$IPV4•线路2
ROCK Action,http://tl.061833.xyz/tl/rockaction$IPV4•线路3
TVB星河,http://r.jdshipin.com/sXuuD$IPV4•线路1
TVB星河,http://r.jdshipin.com/Voac4$IPV4•线路2
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe$IPV4•线路3
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic$IPV4•线路1
千禧经典台,http://45.192.97.170:8880/play/440.m3u8$IPV4•线路2
千禧经典台,https://cdn3.indevs.in/stream/live/tvbc/$IPV4•线路3
712WARNERTV,http://31.43.191.125:8080/vip7201770826573/415c945b71e8/34603$IPV4
AMC電影台,https://cdn.qd.je/163189/amc$IPV4•线路1
AMC電影台,https://cdn12.178.indevs.in/163189/0bcf9bb8c452e56a$IPV4•线路2
AMC電影台,http://4gtv.cnlive.club/channel/n4f2af9e/index.m3u8?q=1784706116084$IPV4•线路3
200TVBS台劇台,http://4gtv.cnlive.club/channel/49342c47/index.m3u8?q=1782639885837$IPV4•线路1
200TVBS台劇台,https://4g.158.qzz.io/163189/tvbstjt$IPV4•线路2
TVBdrama,https://flu.systemnet.tv/CBCDrama/index.m3u8$IPV4
Animax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8$IPV4•线路1
Animax,https://naori-test.netgenx.site/pxx.php?shk_cid=bs15$IPV4•线路2
Animax,.m3u8$IPV4•线路3
美亚电影台,https://live.tvfix.org/live/mydy/index.m3u8$IPV4•线路1
美亚电影台,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn$IPV4•线路2
美亚电影台,http://45.192.97.170:8880/play/2105.m3u8$IPV4•线路3
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8$IPV4
美亚电影粤,https://play.wenxiang.cn/live/38a106306847b2579080984fab9ca49a.flv$IPV4
美亚电影国,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya$IPV4•线路1
美亚电影国,https://play.wenxiang.cn/live/d15690a84b5ad631f11228268ba8dca8.flv$IPV4•线路2
HOYTV,https://test.946985.filegear-sg.me/proxy/ba17d1f96e6841ad$IPV4•线路1
HOYTV,http://49.232.143.177:80/pyxg/export.php?id=10&key=****$IPV4•线路2
HOYTV,http://173.208.234.146/live/hoy77.m3u8$IPV4•线路3
TVB Plus,http://r.jdshipin.com/Nr5jq$IPV4•线路1
TVB Plus,http://r.jdshipin.com/ndGgS$IPV4•线路2
TVB Plus,http://bxtv.3a.ink/api.php?id=tvbp$IPV4•线路3
myTV SUPER FREE,http://75.127.89.169:35441/endday20260630.php?id=332$IPV4
MBC 대전,http://tv123.cc.cd/live.php?ch=1538&sid=70d08ae3ac82298b1cdfe51c7ae19224&exp=1789501083&sig=4d260f04b7c417321e98b0b8a552cacba905e3976f2c714ba4a52356e977c9c4$IPV4
Hoy 78,https://cdn.163189.xyz/163189/hoy78$IPV4•线路1
Hoy 78,http://aktv.top/AKTV/live/aktv/hoy78/AKTV.m3u8$IPV4•线路2
Hoy 78,http://play.wenxiang.cn/live/cf4526f51988d0ed065b5c3fa4bc925d.flv$IPV4•线路3
天映频道粤,http://php.jdshipin.com:8880/smt.php?id=Celestial$IPV4•线路1
天映频道粤,http://45.192.97.170:8880/play/437.m3u8$IPV4•线路2
天映频道粤,https://cdn3.indevs.in/stream/live/typd/$IPV4•线路3
天映频道国,http://205.185.123.236:8899/astro/tianying/tianying.m3u8$IPV4
Viutv,https://cdn.qd.je/163189/viu$IPV4•线路1
Viutv,https://cdn.163189.xyz/163189/viu$IPV4•线路2
Viutv,https://cdn.123.rr.kg/163189/viu$IPV4•线路3
三立台湾,http://31.43.191.125:8080/vip7201770826573/415c945b71e8/34806$IPV4•线路1
三立台湾,https://ktpremium.world/live/LT1976F/A9177/1003298.ts$IPV4•线路2
三立台湾,http://gat.xyys.site/cdnlive-fusion.php?mode=play;id=5bc6e57495b4d08a3ec4fdf5d875d30f;token=MO9fE3b9swtXd8K26mW1CeKqfWEf4gkD;machineid=9187b0aea9370255;userip=112.132.215.14;useragent=Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%2012%3B%20V2166A%20Build%2Fd063e58.0%29;source=dl_app$IPV4•线路3
三立新闻,http://live4play.uk/livehttpplay?channel_id=10126$IPV4•线路1
三立新闻,https://d2jc41c1shgcol.cloudfront.net/live/iNEWS/playlist.m3u8$IPV4•线路2
三立新闻,http://220.135.64.124:5050/iNEWS/index.m3u8?proxy=true$IPV4•线路3
东森综合,http://live4play.uk/livehttpplay?channel_id=20104$IPV4•线路1
东森综合,http://31.43.191.125:8080/vip7201770826573/415c945b71e8/34902$IPV4•线路2
东森综合,https://cdn.19891230.eu.org/api/ET-Variety-Channel/index.m3u8$IPV4•线路3
东森超视,rtmp://f13h.mine.nu/sat/tv331$IPV4•线路1
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8$IPV4•线路2
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8$IPV4•线路3
东森电影,http://mytv.cdn.com.mp/live/dsdy/stream.m3u8$IPV4•线路1
东森电影,http://live4play.uk/livehttpplay?channel_id=20077$IPV4•线路2
东森电影,http://45.192.97.170:8880/play/333.m3u8$IPV4•线路3
Now剧集,http://gat.xyys.site/cdnlive-fusion.php?mode=play;id=7cca5b6cdce53f57946476948f1fdb28;token=MO9fE3b9swtXd8K26mW1CeKqfWEf4gkD;machineid=28407d92f498ead1;userip=112.132.215.14;useragent=Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%2012%3B%20V2166A%20Build%2Fd063e58.0%29;source=dl_app$IPV4
Now华剧,http://gat.xyys.site/cdnlive-fusion.php?mode=play;id=ab89a61ded743371184f508a167692fe;token=MO9fE3b9swtXd8K26mW1CeKqfWEf4gkD;machineid=28407d92f498ead1;userip=112.132.215.14;useragent=Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%2012%3B%20V2166A%20Build%2Fd063e58.0%29;source=dl_app$IPV4
Now星影台,http://iptv.852851.xyz/l/5gC9h6XtL1X3bJoC55t2qVlMPysmpR1MOrEigXzD1If0rc4moQDCzruuZ2JwV18A/index.m3u8$IPV4•线路1
Now星影台,http://75.127.89.169:35441/endday20260630.php?id=176$IPV4•线路2
Now星影台,ihttp://75.127.89.169:35441/endday20260630.php?id=178$IPV4•线路3
靖天资讯,http://220.135.64.124:5050/of-4gtv-4gtv065/index.m3u8?proxy=true$IPV4•线路1
靖天资讯,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKExpbnV4OyBBbmRyb2lkIDE2OyBWMjM1MkEpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMzEuMC42Nzc4LjIwMCBNb2JpbGUgU2FmYXJpLzUzNy4zNiBWaXZvQnJvd3Nlci8yOC4wLjAuMA==&hls=aHR0cDovLzguMjE4Ljg0LjM6ODg4NS9saXZlL05sQWhnZFI0NzVfcDlwSGVLRTFHMXJJTG9WbDE4UXFlMzZqVXNpV3FZNVMyNkxRek5BLTgybzBMU2lObzEzT0dNMnkzU2xVZjBKbjNSWXBET1UzM0plT21QQlZtSVhlXzN1QVhueFdyS1ptcGJzSWxQbkNSVHlwZHgycGVwNWUxN05udjNFcW56d2RkcUNLenQzWWpsVS1pTmpkdVlQWTlkZTFMc1BTams1c0RkaEQ3OHhiWkxGeDRWTlQtVldRYjlKN196VVNmcHY5TTBETXh5VEhxTzNjd05mT0t3WkJZRkZzR0pVaFBMYWdOdEpqZWcta3BYM0czLWxBZ1cxU1BwOUhtd2RTOWFPNVJleXcyb1htMGFnLm0zdTg/dT0xNzU3MTIzODE5$IPV4•线路2
靖天资讯,http://4gtv.cnlive.club/channel/3fae463b/index.m3u8?q=1784706116084$IPV4•线路3
靖天電影台,https://litv.tzh911.qzz.io/litv.php?id=4gtv-4gtv061&token=https://t.me/GPT_858$IPV4•线路1
靖天電影台,http://4gtv.cnlive.club/channel/3fcf6ae8/index.m3u8?q=1782639885837$IPV4•线路2
靖天電影台,https://test.946985.filegear-sg.me/proxy/b1055577a34476e4$IPV4•线路3
星卫娱乐,https://live.metshop.top/douyu/9403712$IPV4•线路1
星卫娱乐,http://43.138.170.29:35455/douyu/9403712$IPV4•线路2
SUPER Kids Channel,https://video0.rogohosting.com:19360/8006/8006.m3u8$IPV4•线路1
SUPER Kids Channel,http://tv123.cc.cd/live.php?ch=523&sid=70d08ae3ac82298b1cdfe51c7ae19224&exp=1789501083&sig=05f25792502728834fd5b463f1c1e41e2b589391343bd3eb913d41d83c1ffe35$IPV4•线路2
SUPER Kids Channel,https://video0.rogohosting.com:19360/8006/8006.m3u8$IPV4•线路3
amc电影台,http://45.192.97.170:8880/play/458.m3u8$IPV4•线路1
amc电影台,https://cdn12.178.indevs.in/163189/amc$IPV4•线路2
amc电影台,http://tv123.cc.cd/live.php?ch=2071&sid=70d08ae3ac82298b1cdfe51c7ae19224&exp=1789501083&sig=683189ecc6d02de0a0582355acbcfe2ac2604ee5ee38fb1dfcada955905a8fc4$IPV4•线路3
Hbo原创台,https://hls-gateway.vpstv.net/streams/476973.m3u8$IPV4•线路1
Hbo原创台,https://hls-gateway.vpstv.net/streams/476622.m3u8$IPV4•线路2
Hbo原创台,https://hls-gateway.vpstv.net/streams/709586.m3u8$IPV4•线路3
AXN电影台,http://170.83.16.50/AXN/index.m3u8$IPV4•线路1
AXN电影台,https://ktpremium.world/live/LT1976F/A9177/515075.ts$IPV4•线路2
Channel 5 HD,https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/chsukoff.stream/playlist.m3u8$IPV4•线路1
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8$IPV4•线路2
Channel 5 HD,https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/chsukoff.stream/playlist.m3u8$IPV4•线路3
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8$IPV4
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8$IPV4
RTHK 31,http://67.220.71.199:2347/livehttpplay?channel_id=30066$IPV4•线路1
RTHK 31,http://cdn.163189.xyz/163189/rthk31$IPV4•线路2
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8$IPV4•线路3
RTHK 32,http://67.220.71.199:2347/livehttpplay?channel_id=20203$IPV4•线路1
RTHK 32,http://67.220.71.199:2347/livehttpplay?channel_id=30028$IPV4•线路2
RTHK 32,http://67.220.71.199:2347/livehttpplay?channel_id=30067$IPV4•线路3
RTHK 33,$IPV4•线路1
RTHK 33,http://cdn6.163189.xyz/163189/cctv1$IPV4•线路2
RTHK 33,http://tv123.cc.cd/live.php?ch=1271&sid=70d08ae3ac82298b1cdfe51c7ae19224&exp=1789501083&sig=244ce6200286cb564994337a5e3bcec1ef45459ffecbe27891875cb22f4a8c75$IPV4•线路3
RTHK 34,http://gat.xyys.site/cdnlive-fusion.php?mode=play;id=bee7ea565f5c9458987f1893e30e056f;token=MO9fE3b9swtXd8K26mW1CeKqfWEf4gkD;machineid=28407d92f498ead1;userip=112.132.215.14;useragent=Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%2012%3B%20V2166A%20Build%2Fd063e58.0%29;source=dl_app$IPV4
RTHK 35,http://gat.xyys.site/cdnlive-fusion.php?mode=play;id=dc6784c67a7e93f9f341dcf67ff8d631;token=MO9fE3b9swtXd8K26mW1CeKqfWEf4gkD;machineid=28407d92f498ead1;userip=112.132.215.14;useragent=Dalvik%2F2.1.0%20%28Linux%3B%20U%3B%20Android%2012%3B%20V2166A%20Build%2Fd063e58.0%29;source=dl_app$IPV4
中天亞洲台,http://line.senpay23.com:80/4cafe94867/48a12d348c/571212$IPV4•线路1
中天亞洲台,https://ktpremium.world/live/LT1976F/A9177/877046.ts$IPV4•线路2
中天新聞台,https://litv.tzh911.qzz.io/litv.php?id=4gtv-4gtv009&token=https://t.me/GPT_858$IPV4•线路1
中天新聞台,http://4gtv.cnlive.club/channel/3824d067/index.m3u8?q=1782639885837$IPV4•线路2
中天新聞台,https://7612-5516-affc-d88b.kylintv.tv/live/cti_iphone.m3u8$IPV4•线路3
中視,http://211.72.174.95:8113/0.ts$IPV4•线路1
中視,http://220.135.241.47:8301/0.ts$IPV4•线路2
中視,https://litv.tzh911.qzz.io/litv.php?id=4gtv-4gtv040&token=https://t.me/GPT_858$IPV4•线路3
千禧經典台,https://test.946985.filegear-sg.me/proxy/31368ba8378b5adf$IPV4•线路1
千禧經典台,http://bak.dou.ddns-ip.net/api.php?n=xxxtw&id=J5Sbam&tk=SLK5QjnsRiya$IPV4•线路2
千禧經典台,http://tv123.cc.cd/live.php?ch=1847&sid=70d08ae3ac82298b1cdfe51c7ae19224&exp=1789501083&sig=26e246811d17c01ddcbae12bc2853a7530ed7440fba5999628ef6890a62b3203$IPV4•线路3
東森电影国,https://live.metshop.top/huya/21059581$IPV4
8-度空间国,https://cdn6.163189.xyz/163189/8tv$IPV4•线路1
8-度空间国,https://cdn6.163189.xyz/163189/8tv$IPV4•线路2
日本全天新聞,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8$IPV4
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8$IPV4•线路1
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd$IPV4•线路2
華視,http://211.72.174.95:8114/0.ts$IPV4•线路1
華視,http://220.135.241.47:8317/0.ts$IPV4•线路2
華視,https://litv.tzh911.qzz.io/litv.php?id=4gtv-4gtv041&token=https://t.me/GPT_858$IPV4•线路3
龍華日韓台,https://test.946985.filegear-sg.me/proxy/e22b032d5a9990af$IPV4•线路1
龍華日韓台,https://cdn.qd.je/163189/lhrh$IPV4•线路2
龍華日韓台,http://cdn8.163189.xyz/163189/lhrh$IPV4•线路3
龍華電影台,https://test.946985.filegear-sg.me/proxy/3e25c26d79d21d2d$IPV4•线路1
龍華電影台,http://bak.dou.ddns-ip.net/api.php?n=xxxtw&id=ZcFnhW&tk=SLK5QjnsRiya$IPV4•线路2
龍華電影台,https://cdn.qd.je/163189/lhdy$IPV4•线路3
凤凰香港,http://k.061899.xyz/k.php?id=fhhk$IPV4•线路1
凤凰香港,http://r.jdshipin.com/yDoTN$IPV4•线路2
凤凰香港,http://r.jdshipin.com/NfC0f$IPV4•线路3
凤凰卫视,http://api.kkitv.itv888.vip:8080/streams/vny1wblsnch/index.m3u8$IPV4•线路1
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw$IPV4•线路2
凤凰卫视,https://live.264788.xyz/channel/fenghuangweishizhongwen?streamid=2f797f6963d4df5f391f48edfa50ff59&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk#http://cdn6.163189.xyz/163189/fhzw#http://vpn.clnas0001.top:9981/stream/channelid/2064247055?profile=pass$IPV4•线路3
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8$IPV4•线路1
香港卫视,http://101.35.240.114:88/live.php?id=香港卫视$IPV4•线路2
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$IPV4•线路3
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8$IPV4•线路1
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$IPV4•线路2
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8$IPV4•线路3
无线新闻,http://iactive-clink.com:8081/live/yifaTV-007.m3u8$IPV4•线路1
无线新闻,https://smt.1678520.xyz/smt3.2.3.php?id=inews_twn$IPV4•线路2
无线新闻,https://hls.iill.top/api/TVB-News/index.m3u8$IPV4•线路3
纬来体育,rtmp://f13h.mine.nu/sat/tv721$IPV4•线路1
纬来体育,http://31.43.191.125:8080/vip7201770826573/415c945b71e8/34855$IPV4•线路2
纬来体育,https://cdn.19891230.eu.org/api/VL-Sports/index.m3u8$IPV4•线路3
纬来育乐,rtmp://f13h.mine.nu/sat/tv701$IPV4•线路1
纬来育乐,http://31.43.191.125:8080/vip7201770826573/415c945b71e8/34849$IPV4•线路2
纬来育乐,http://125.94.244.29:2101/1234.php?id=31&s=4$IPV4•线路3
📠┃央视频道,#genre#
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1$IPV4•线路1
CCTV1,http://111.231.6.102:1234/608807420$IPV4•线路2
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8$IPV4•线路3
CCTV2,http://148.135.93.213/live.php?id=CCTV2$IPV4•线路1
CCTV2,http://111.231.6.102:1234/631780532$IPV4•线路2
CCTV2,http://t.061899.xyz/tl/tl.php?id=cctv2$IPV4•线路3
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3$IPV4•线路1
CCTV3,http://111.231.6.102:1234/624878271$IPV4•线路2
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8$IPV4•线路3
CCTV4,http://148.135.93.213/live.php?id=CCTV4$IPV4•线路1
CCTV4,http://111.231.6.102:1234/631780421$IPV4•线路2
CCTV4,http://t.061899.xyz/tl/tl.php?id=cctv4$IPV4•线路3
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5$IPV4•线路1
CCTV5,http://111.231.6.102:1234/641886683$IPV4•线路2
CCTV5,http://t.061899.xyz/tl/tl.php?id=cctv5$IPV4•线路3
